	precision	recall	f1-score	support
Intro	0.9487179487179487	0.9024390243902439	0.9249999999999999	82.0
break-down	0.9333333333333333	0.9545454545454546	0.9438202247191012	44.0
build-up	0.9509803921568627	0.9238095238095239	0.9371980676328502	105.0
drop	0.9938271604938271	0.9640718562874252	0.9787234042553192	167.0
main	0.9262295081967213	0.9416666666666667	0.9338842975206612	120.0
outro	0.8235294117647058	0.9491525423728814	0.8818897637795277	59.0
accuracy	0.9410745233968805	0.9410745233968805	0.9410745233968805	0.9410745233968805
macro avg	0.9294362924438997	0.9392808446786992	0.9334192929845767	577.0
weighted avg	0.9435344743816333	0.9410745233968805	0.9416435134578847	577.0
